Date,open,high,low,Close,adjusted_close,volume
15-03-2017,1286,1286.0699,1246.9301,1249.15,1184.9905,3022496
14-03-2017,1278.4,1293.5699,1275.53,1283.75,1217.8135,3402294
10-03-2017,1259.8,1274.78,1256.97,1271.12,1205.8322,1171420
09-03-2017,1257.0699,1262,1252.03,1259.88,1195.1694,858468
08-03-2017,1251,1260,1246.1,1256.1,1191.5836,1791510
07-03-2017,1241.45,1252.5,1237.53,1249.9,1185.702,1511672
06-03-2017,1240,1242,1227.28,1236.25,1172.7532,1400694
03-03-2017,1246,1249.85,1237.7,1247.03,1182.9795,1013970
02-03-2017,1243.35,1255,1235.03,1250.72,1186.48,1544942
01-03-2017,1239.95,1250.95,1235,1239.78,1176.1019,1130374
28-02-2017,1244.75,1245,1225,1233.12,1169.7838,2354828
27-02-2017,1239.55,1251,1235.03,1244.9301,1180.9873,2139892
23-02-2017,1207.5,1246.62,1207.5,1240.9,1177.1643,4853352
22-02-2017,1232.95,1235,1200.0699,1205.75,1143.8198,4505496
21-02-2017,1257,1262.95,1227.5699,1232.6801,1169.3667,5501112
20-02-2017,1212.5,1277.5,1204.05,1251.1,1186.8402,3973948
17-02-2017,1236,1237.8,1201,1203.95,1142.1121,2723324
16-02-2017,1230,1239,1217.8,1223.88,1161.0187,4175680
15-02-2017,1198.5,1214,1187.55,1206.85,1144.8633,1924972
14-02-2017,1209.8199,1209.8199,1199,1203.12,1141.3247,2033328
13-02-2017,1198,1214.5,1191.1801,1207.12,1145.1191,3819812
10-02-2017,1155.5,1212.22,1155.5,1198.97,1137.3878,5782160
09-02-2017,1137.5,1164,1135.1,1158.65,1099.1389,4033202
08-02-2017,1122.45,1141.3,1122.03,1135.47,1077.1495,2212584
07-02-2017,1122,1126.3,1113,1122.3,1064.656,1814638
06-02-2017,1129,1129.25,1107.47,1120.38,1062.8346,2408910
03-02-2017,1104.85,1121.5,1095.5,1116.28,1058.9451,2153372
02-02-2017,1085.03,1109.5,1076.5,1103.8199,1047.1249,6009482
01-02-2017,1110,1119.97,1077.78,1083.95,1028.2758,4864152
31-01-2017,1160,1166.03,1100.03,1114.9,1057.6362,4666804
30-01-2017,1170.5,1175.97,1159.0699,1166.45,1106.5383,2577956
27-01-2017,1172.53,1189.38,1172.53,1178.9,1118.3489,2871658
25-01-2017,1161.3,1180,1159.03,1176.5,1116.0721,4111648
24-01-2017,1152,1161.5,1145,1159.1801,1099.6416,2282638
23-01-2017,1132.5,1156.75,1129.9,1153.35,1094.1112,2318546
20-01-2017,1143.5,1150,1132.5,1142.6801,1077.8232,2037246
19-01-2017,1147.5,1147.5699,1141.47,1145.5,1080.483,2251676
18-01-2017,1139,1149,1132.72,1147.55,1082.4167,3136574
17-01-2017,1127.45,1143.9,1126.4,1139.38,1074.7102,3009956
16-01-2017,1125,1136.95,1114,1129.28,1065.1837,3364808
13-01-2017,1174,1178.97,1118.9301,1124.65,1060.8162,10235580
12-01-2017,1162.2,1180,1152,1172.1801,1105.6487,2570374
11-01-2017,1157.5,1164.8,1140.1,1162.2,1096.2351,1931296
10-01-2017,1152,1164.9,1145.75,1157.6801,1091.9719,1533914
09-01-2017,1137.5,1155.65,1128.5,1151.85,1086.4727,1854578
06-01-2017,1160.5,1164.6801,1128.55,1140.7,1075.9554,3009896
05-01-2017,1192,1194.97,1160.2,1167.2,1100.9513,2216404
04-01-2017,1184.85,1194.4301,1179.15,1189.75,1122.2213,1420066
03-01-2017,1180.62,1185.85,1171.65,1184.12,1116.9109,1475324
02-01-2017,1183.3,1187.55,1176.2,1180.6801,1113.6664,823132
30-12-2016,1177.45,1189.3,1172.8199,1182.78,1115.647,1405748
29-12-2016,1151.5,1179.95,1151.5,1175.85,1109.1104,1963516
28-12-2016,1163.35,1174.95,1151.5699,1156.7,1091.0472,1350418
27-12-2016,1140.75,1165,1140.75,1161.7,1095.7635,1294692
26-12-2016,1133,1150.8,1133,1146.55,1081.4734,897408
23-12-2016,1150,1158.88,1139.4,1144.05,1079.1154,1118954
22-12-2016,1153,1162.5,1143.1,1153.85,1088.359,1868300
21-12-2016,1171.9,1171.9,1152.8,1156.8,1091.1417,2034902
20-12-2016,1146,1172.5,1143.53,1169.65,1103.2623,2922760
19-12-2016,1140,1148.85,1130.65,1144.45,1079.4926,1334210
16-12-2016,1138.5,1145,1126,1141.3199,1076.5403,1987230
15-12-2016,1101,1136.05,1101,1129.65,1065.5327,4295410
14-12-2016,1107,1112.35,1094.5,1103.8,1041.1499,1870366
13-12-2016,1109,1109,1091.5,1100.15,1037.7072,2147534
12-12-2016,1097.4,1108.8,1081.5,1104.1,1041.433,1311758
09-12-2016,1102.5,1109.95,1086.65,1097.62,1035.3206,1588718
08-12-2016,1080.25,1099.5,1080,1097.88,1035.5659,3239546
07-12-2016,1091.1,1092.22,1072.8199,1077.28,1016.1351,2065706
06-12-2016,1095,1101.97,1084.95,1091.1801,1029.2462,1593444
05-12-2016,1114.5,1118.9301,1085,1093,1030.9629,2249526
02-12-2016,1129,1135.4,1102.6,1110.9301,1047.8751,1998032
01-12-2016,1138.5,1145,1127.03,1131.72,1067.4854,1123052
30-11-2016,1132.5,1147.38,1121.15,1138.03,1073.437,3445832
29-11-2016,1137.5,1146,1126.28,1129.9301,1065.7968,1442296
28-11-2016,1147,1159.72,1125.95,1141.3,1076.5215,1924296
25-11-2016,1106,1153.62,1096.1,1150.1801,1084.8975,4276148
